Date,Open,High,Low,Close,Adj Close,Volume
1997-02-04,11.0,11.0,10.31,10.56,10.56,26677600
1997-02-05,10.62,10.75,10.12,10.12,10.12,6762800
1997-02-06,10.19,10.38,10.12,10.31,10.31,2238200
1997-02-07,10.25,10.31,10.25,10.25,10.25,1405800
1997-02-10,10.25,10.62,10.25,10.5,10.5,1666800
1997-02-11,10.5,10.62,10.44,10.5,10.5,1444200
1997-02-12,10.5,10.56,10.31,10.38,10.38,780000
1997-02-13,10.44,10.44,10.0,10.0,10.0,1518600
1997-02-14,10.06,10.12,10.0,10.0,10.0,511600
1997-02-18,10.06,10.06,10.0,10.06,10.06,746000
1997-02-19,10.0,10.06,10.0,10.0,10.0,1593000
1997-02-20,10.0,10.06,10.0,10.0,10.0,614000
1997-02-21,10.0,10.06,10.0,10.0,10.0,756400
1997-02-24,10.0,10.06,10.0,10.0,10.0,244400
1997-02-25,10.0,10.06,10.0,10.0,10.0,836800
1997-02-26,10.0,10.19,10.0,10.12,10.12,2607200
1997-02-27,10.12,10.12,10.0,10.0,10.0,2115000
1997-02-28,10.0,10.06,10.0,10.06,10.06,188400
1997-03-03,10.06,10.06,10.0,10.0,10.0,2307000
1997-03-04,10.0,10.06,9.38,9.5,9.5,1624600
1997-03-05,9.5,9.62,9.44,9.56,9.56,795800
1997-03-06,9.56,9.69,9.56,9.69,9.69,1049000
1997-03-07,9.62,9.81,9.56,9.81,9.81,417000
1997-03-10,9.81,10.0,9.75,9.81,9.81,567000
1997-03-11,9.81,9.81,9.56,9.62,9.62,438800
1997-03-12,9.69,9.69,9.5,9.5,9.5,72200
1997-03-13,9.5,9.5,8.75,8.81,8.81,269200
1997-03-14,8.88,8.88,8.38,8.44,8.44,322200
1997-03-17,8.5,8.5,8.31,8.44,8.44,445800
1997-03-18,8.44,8.5,8.31,8.31,8.31,397200
1997-03-19,8.31,8.44,8.25,8.25,8.25,215800
1997-03-20,8.25,8.44,8.25,8.44,8.44,182600
1997-03-21,8.44,8.44,8.31,8.31,8.31,65400
1997-03-24,8.25,8.25,7.69,8.12,8.12,825200
